ID	string	anas	feature	lemma	hfstana	pos	chunk	depType	depTarget	cons	NER
<s>
30	is	{ana=is[/Adv]=is, feats=[/Adv], lemma=is, readable_ana=is[/Adv]}	SubPOS=x|Deg=none|Num=none|Per=none	is	[/Adv]	Adv	O	MODE	32	(C0*)	O	
32	fáj	{ana=fáj[/V]=fáj+[Prs.NDef.3Sg], feats=[/V][Prs.NDef.3Sg], lemma=fáj, readable_ana=fáj[/V] + [Prs.NDef.3Sg]}	SubPOS=m|Mood=i|Tense=p|Per=3|Num=s|Def=n	fáj	[/V][Prs.NDef.3Sg]	V	O			(V_(V0*)))	O	
33	,		_	,	OTHER	,	O	ATT	38	*	O	
34	lehullt	{ana=le[/Prev]=le+hull[/V]=hull+t[Pst.NDef.3Sg]=t, feats=[/V][Pst.NDef.3Sg], lemma=lehull, readable_ana=le[/Prev] + hull[/V] + t[Pst.NDef.3Sg]};{ana=le[/Prev]=le+hull[/V]=hull+t[_PerfPtcp/Adj]=t+[Nom], feats=[/Adj][Nom], lemma=lehullt, readable_ana=le[/Prev] + hull[/V] + t[_PerfPtcp/Adj] + [Nom]};{ana=le[/Prev]=le+hullik[/V]=hull+t[Pst.NDef.3Sg]=t, feats=[/V][Pst.NDef.3Sg], lemma=lehullik, readable_ana=le[/Prev] + hullik[/V]=hull + t[Pst.NDef.3Sg]};{ana=le[/Prev]=le+hullik[/V]=hull+t[_PerfPtcp/Adj]=t+[Nom], feats=[/Adj][Nom], lemma=lehullt, readable_ana=le[/Prev] + hullik[/V]=hull + t[_PerfPtcp/Adj] + [Nom]}	SubPOS=m|Mood=i|Tense=s|Per=3|Num=s|Def=n	lehull	[/V][Pst.NDef.3Sg]	V	O	ATT	38	(CP(NP*)	O	
36	minden	{ana=mind[/N|Pro]=mind+en[Supe]=en, feats=[/N|Pro][Supe], lemma=mind, readable_ana=mind[/N|Pro] + en[Supe]};{ana=minden[/Det|Q|indef]=minden, feats=[/Det|Q|indef], lemma=minden, readable_ana=minden[/Det|Q|indef]};{ana=minden[/N|Pro]=minden+[Nom], feats=[/N|Pro][Nom], lemma=minden, readable_ana=minden[/N|Pro] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	minden	[/N|Pro][Nom]	N	B-NP	ATT	38	(NP(ADJP*)	O	
38	sztár	{ana=sztár[/N]=sztár+[Nom], feats=[/N][Nom], lemma=sztár, readable_ana=sztár[/N] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	sztár	[/N][Nom]	N	E-NP	SUBJ	32	*))	O	
39	.		_	.	OTHER	.	O	ATT	32	*))	O	
</s>
<s>
42	Akárhogy	{ana=akárhogy[/Adv|Pro]=akárhogy, feats=[/Adv|Pro], lemma=akárhogy, readable_ana=akárhogy[/Adv|Pro]}	SubPOS=d|Deg=none|Num=none|Per=none	akárhogy	[/Adv|Pro]	Adv	O	MODE	46	(ROOT(CP(CP(ADVP*)	O	
44	is	{ana=is[/Adv]=is, feats=[/Adv], lemma=is, readable_ana=is[/Adv]}	SubPOS=x|Deg=none|Num=none|Per=none	is	[/Adv]	Adv	O	MODE	46	(C0*)	O	
46	fáj	{ana=fáj[/V]=fáj+[Prs.NDef.3Sg], feats=[/V][Prs.NDef.3Sg], lemma=fáj, readable_ana=fáj[/V] + [Prs.NDef.3Sg]}	SubPOS=m|Mood=i|Tense=p|Per=3|Num=s|Def=n	fáj	[/V][Prs.NDef.3Sg]	V	O			(V_(V0*)))	O	
47	,		_	,	OTHER	,	O	ATT	46	*	O	
48	padlón	{ana=padló[/N]=padló+n[Supe]=n, feats=[/N][Supe], lemma=padló, readable_ana=padló[/N] + n[Supe]}	SubPOS=c|Num=s|Cas=p|NumP=none|PerP=none|NumPd=none	padló	[/N][Supe]	N	1-NP	OBL	46	(CP(NP*)	O	
50	minden	{ana=mind[/N|Pro]=mind+en[Supe]=en, feats=[/N|Pro][Supe], lemma=mind, readable_ana=mind[/N|Pro] + en[Supe]};{ana=minden[/Det|Q|indef]=minden, feats=[/Det|Q|indef], lemma=minden, readable_ana=minden[/Det|Q|indef]};{ana=minden[/N|Pro]=minden+[Nom], feats=[/N|Pro][Nom], lemma=minden, readable_ana=minden[/N|Pro] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	minden	[/N|Pro][Nom]	N	B-NP	ATT	52	(NP(ADJP*)	O	
52	sztár	{ana=sztár[/N]=sztár+[Nom], feats=[/N][Nom], lemma=sztár, readable_ana=sztár[/N] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	sztár	[/N][Nom]	N	E-NP	SUBJ	46	*))	O	
53	.		_	.	OTHER	.	O	ATT	46	*))	O	
</s>
<s>
56	Répa	{ana=répa[/N]=répa+[Nom], feats=[/N][Nom], lemma=répa, readable_ana=répa[/N] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	répa	[/N][Nom]	N	O	ATT	60	(ROOT(CP(NP(NP*)	O	
57	,		_	,	OTHER	,	O	ATT	60	*	O	
58	retek	{ana=retek[/N]=retek+[Nom], feats=[/N][Nom], lemma=retek, readable_ana=retek[/N] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	retek	[/N][Nom]	N	O	ATT	60	(NP*)	O	
59	,		_	,	OTHER	,	O	ATT	60	*	O	
60	mogyoró	{ana=mogyoró[/N]=mogyoró+[Nom], feats=[/N][Nom], lemma=mogyoró, readable_ana=mogyoró[/N] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	mogyoró	[/N][Nom]	N	O	SUBJ	64	(NP*)	O	
61	,		_	,	OTHER	,	O	ATT	64	*	O	
62	ritkán	{ana=ritka[/Adj]=ritká+n[Supe]=n, feats=[/Adj][Supe], lemma=ritka, readable_ana=ritka[/Adj]=ritká + n[Supe]};{ana=ritka[/Adj]=ritká+n[_Manner/Adv]=n, feats=[/Adj][_Manner/Adv], lemma=ritka, readable_ana=ritka[/Adj]=ritká + n[_Manner/Adv]};{ana=ritkán[/Adv]=ritkán, feats=[/Adv], lemma=ritkán, readable_ana=ritkán[/Adv]}	SubPOS=f|Deg=p|Num=s|Cas=w|NumP=none|PerP=none|NumPd=none	ritka	[/Adj][_Manner/Adv]	Adj	O	MODE	64	(ADVP*)	O	
64	rikkant	{ana=rikkan[/V]=rikkan+t[Pst.NDef.3Sg]=t, feats=[/V][Pst.NDef.3Sg], lemma=rikkan, readable_ana=rikkan[/V] + t[Pst.NDef.3Sg]};{ana=rikkan[/V]=rikkan+t[_PerfPtcp/Adj]=t+[Nom], feats=[/Adj][Nom], lemma=rikkant, readable_ana=rikkan[/V] + t[_PerfPtcp/Adj] + [Nom]};{ana=rikkant[/V]=rikkant+[Prs.NDef.3Sg], feats=[/V][Prs.NDef.3Sg], lemma=rikkant, readable_ana=rikkant[/V] + [Prs.NDef.3Sg]}	SubPOS=m|Mood=i|Tense=s|Per=3|Num=s|Def=n	rikkan	[/V][Pst.NDef.3Sg]	V	O			(NP*))	O	
66	a	{ana=a[/Det|Pro|(Post)]=a, feats=[/Det|Pro|(Post)], lemma=a, readable_ana=a[/Det|Pro|(Post)]};{ana=a[/Det|art.Def]=a, feats=[/Det|art.Def], lemma=a, readable_ana=a[/Det|art.Def]};{ana=a[/N|Ltr]=a+[Nom], feats=[/N][Nom], lemma=a, readable_ana=a[/N|Ltr] + [Nom]};{ana=a[/N|Pro|(Post)]=a+[Nom], feats=[/N|Pro|(Post)][Nom], lemma=a, readable_ana=a[/N|Pro|(Post)] + [Nom]}	SubPOS=f	a	[/Det|art.Def]	Det	B-NP	DET	68	(NP*	O	
68	rigó	{ana=rigó[/N]=rigó+[Nom], feats=[/N][Nom], lemma=rigó, readable_ana=rigó[/N] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	rigó	[/N][Nom]	N	E-NP	SUBJ	64	*)	O	
69	.		_	.	OTHER	.	O	ATT	64	*))	O	
</s>
<s>
72	Répa	{ana=répa[/N]=répa+[Nom], feats=[/N][Nom], lemma=répa, readable_ana=répa[/N] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	répa	[/N][Nom]	N	O	ATT	76	(ROOT(CP(NP(NP*)	O	
73	,		_	,	OTHER	,	O	ATT	76	*	O	
74	retek	{ana=retek[/N]=retek+[Nom], feats=[/N][Nom], lemma=retek, readable_ana=retek[/N] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	retek	[/N][Nom]	N	O	ATT	76	(NP*)	O	
75	,		_	,	OTHER	,	O	ATT	76	*	O	
76	mogyoró	{ana=mogyoró[/N]=mogyoró+[Nom], feats=[/N][Nom], lemma=mogyoró, readable_ana=mogyoró[/N] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	mogyoró	[/N][Nom]	N	O	SUBJ	80	(NP*)	O	
77	,		_	,	OTHER	,	O	ATT	80	*	O	
78	ritkán	{ana=ritka[/Adj]=ritká+n[Supe]=n, feats=[/Adj][Supe], lemma=ritka, readable_ana=ritka[/Adj]=ritká + n[Supe]};{ana=ritka[/Adj]=ritká+n[_Manner/Adv]=n, feats=[/Adj][_Manner/Adv], lemma=ritka, readable_ana=ritka[/Adj]=ritká + n[_Manner/Adv]};{ana=ritkán[/Adv]=ritkán, feats=[/Adv], lemma=ritkán, readable_ana=ritkán[/Adv]}	SubPOS=f|Deg=p|Num=s|Cas=w|NumP=none|PerP=none|NumPd=none	ritka	[/Adj][_Manner/Adv]	Adj	O	MODE	80	(ADVP*)	O	
80	rikkant	{ana=rikkan[/V]=rikkan+t[Pst.NDef.3Sg]=t, feats=[/V][Pst.NDef.3Sg], lemma=rikkan, readable_ana=rikkan[/V] + t[Pst.NDef.3Sg]};{ana=rikkan[/V]=rikkan+t[_PerfPtcp/Adj]=t+[Nom], feats=[/Adj][Nom], lemma=rikkant, readable_ana=rikkan[/V] + t[_PerfPtcp/Adj] + [Nom]};{ana=rikkant[/V]=rikkant+[Prs.NDef.3Sg], feats=[/V][Prs.NDef.3Sg], lemma=rikkant, readable_ana=rikkant[/V] + [Prs.NDef.3Sg]}	SubPOS=m|Mood=i|Tense=s|Per=3|Num=s|Def=n	rikkan	[/V][Pst.NDef.3Sg]	V	O			(NP*))	O	
82	a	{ana=a[/Det|Pro|(Post)]=a, feats=[/Det|Pro|(Post)], lemma=a, readable_ana=a[/Det|Pro|(Post)]};{ana=a[/Det|art.Def]=a, feats=[/Det|art.Def], lemma=a, readable_ana=a[/Det|art.Def]};{ana=a[/N|Ltr]=a+[Nom], feats=[/N][Nom], lemma=a, readable_ana=a[/N|Ltr] + [Nom]};{ana=a[/N|Pro|(Post)]=a+[Nom], feats=[/N|Pro|(Post)][Nom], lemma=a, readable_ana=a[/N|Pro|(Post)] + [Nom]}	SubPOS=f	a	[/Det|art.Def]	Det	B-NP	DET	84	(NP*	O	
84	rigó	{ana=rigó[/N]=rigó+[Nom], feats=[/N][Nom], lemma=rigó, readable_ana=rigó[/N] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	rigó	[/N][Nom]	N	E-NP	SUBJ	80	*)	O	
85	.		_	.	OTHER	.	O	ATT	80	*))	O	
</s>
<s>
88	Nekünk	{ana=mi[/N|Pro]+neki[Dat]=nek+ünk[1Pl]=ünk, feats=[/N|Pro][Dat][1Pl], lemma=mi, readable_ana=mi[/N|Pro] + neki[Dat]=nek + ünk[1Pl]}	SubPOS=c|Num=s|Cas=g|NumP=none|PerP=none|NumPd=none	mi	[/N|Pro][Dat][1Pl]	N	1-NP	DAT	94	(ROOT(CP(CP(NP*)	O	
90	te	{ana=te[/N|Pro]=te+[2Sg]+[Nom], feats=[/N|Pro][2Sg][Nom], lemma=te, readable_ana=te[/N|Pro] + [2Sg] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	te	[/N|Pro][2Sg][Nom]	N	1-NP	SUBJ	94	(NP*)	O	
92	ne	{ana=ne[/Adv]=ne, feats=[/Adv], lemma=ne, readable_ana=ne[/Adv]};{ana=ne[/Inj-Utt]=ne, feats=[/Inj-Utt], lemma=ne, readable_ana=ne[/Inj-Utt]}	SubPOS=x|Deg=none|Num=none|Per=none	ne	[/Adv]	Adv	O	NEG	94	(NEG*)	O	
94	ugass	{ana=ugat[/V]=ugas+s[Sbjv.NDef.2Sg]=s, feats=[/V][Sbjv.NDef.2Sg], lemma=ugat, readable_ana=ugat[/V]=ugas + s[Sbjv.NDef.2Sg]}	SubPOS=m|Mood=i|Tense=s|Per=none|Num=none|Def=none	ugat	[/V][Sbjv.NDef.2Sg]	V	O			(NP*))	O	
95	,		_	,	OTHER	,	O	ATT	94	*	O	
